Scenario	Replication	[ScenarioInputs].Distribution		[EntitySystem1].StateTimes("0Nonworking")/[ScenarioInputs].SimDuration		[EntitySystem1].StateTimes("1Nonworking")/[ScenarioInputs].SimDuration		[EntitySystem1].StateTimes("2Nonworking")/[ScenarioInputs].SimDuration		[EntitySystem1].StateTimes("3Nonworking")/[ScenarioInputs].SimDuration		[TotalNonOp].SampleAverage/1[h]		[Queue1].AverageQueueTime/1[h]		[EntitySystem1].StateTimes("0Nonworking")/[ScenarioInputs].SimDuration * 0 + [EntitySystem1].StateTimes("1Nonworking")/[ScenarioInputs].SimDuration * 1 + [EntitySystem1].StateTimes("2Nonworking")/[ScenarioInputs].SimDuration * 2 + [EntitySystem1].StateTimes("3Nonworking")/[ScenarioInputs].SimDuration * 3		[Queue1].QueueLengthAverage	
1	1	Exponential		0.2930333547372733		0.43528558214068663		0.2169767263899567		0.05470433673208333		4.196503910478017		0.22215861245975813		1.03335204511685		0.054704336732090846	
1	2	Exponential		0.29344009065251164		0.4373154175577783		0.21542994449385722		0.05381454729585278		4.191747540744392		0.219087844708921		1.029618948433051		0.05381454729585227	
1	3	Exponential		0.2899840831234122		0.43722836772953827		0.21845699670907165		0.054330552437977776		4.220696035956138		0.22110217249284117		1.037134018461615		0.05433055243797589	
1	4	Exponential		0.29193387998720943		0.4353741565378861		0.2188392144875722		0.053852748987332215		4.216808499046393		0.21948999807354938		1.0346108324750272		0.053852748987337634	
1	5	Exponential		0.2911498968400316		0.43545460318513385		0.21836040336606277		0.055035096608771664		4.241658827965179		0.22505007895760087		1.0372806997435744		0.05503509660876547	
1	6	Exponential		0.29044384795880723		0.4365570548060761		0.21828898802643668		0.05471010920868		4.214668436072698		0.22229941574368992		1.0372653584849894		0.054710109208679525	
1	7	Exponential		0.29039960001063664		0.43626463691122613		0.21798093132018664		0.05535483175795055		4.231531951035016		0.22559739070770354		1.038290994825451		0.05535483175794922	
1	8	Exponential		0.29059241285304943		0.43469467829310104		0.21923726563250054		0.05547564322134889		4.214451122728621		0.2248982171376875		1.0395961392221487		0.05547564322135338	
1	9	Exponential		0.2918974618560083		0.4365234420253261		0.21752470107591387		0.05405439504275166		4.217910462768544		0.22055456513991742		1.0337360293054088		0.05405439504275152	
1	10	Exponential		0.2910394604057922		0.43629477626023777		0.21839987835391111		0.05426588498005889		4.223700360165779		0.22126040732640834		1.0358921879082366		0.05426588498006026	
1				0.2913914088424732	8.30296107003697E-4	0.436099271544699	6.21091221605887E-4	0.21794950498554694	7.788608307735383E-4	0.054559814627280774	4.2585532008301125E-4	4.216967714696078	0.010524596169862722	0.22214987027480773	0.0016649097277353854	1.035677725397635	0.0020849980760780334	0.05455981462728161	4.258553200827125E-4

2	1	Normal		0.29394241915672387		0.4343749476679966		0.21744697341490887		0.05423565976037055		4.194980596388157		0.22046836920172938		1.0319758737789262		0.05423565976036383	
2	2	Normal		0.29281632604057556		0.43677117522144276		0.21690208945983386		0.05351040927814778		4.189616919573689		0.21742476647901823		1.0311065819755538		0.05351040927815118	
2	3	Normal		0.29051181459079556		0.43699420923916715		0.21850651386404554		0.05398746230599167		4.219817135009699		0.21990640526756036		1.0359696238852332		0.0539874623059966	
2	4	Normal		0.29050572692610943		0.4375192078250511		0.21773571286508944		0.05423935238375		4.21820443810337		0.22090363201735674		1.03570869070648		0.05423935238374967	
2	5	Normal		0.29007382595172054		0.43529145181419776		0.22021991848083666		0.054414803753245		4.238562346148956		0.22198707502773318		1.0389757000356061		0.05441480375324812	
2	6	Normal		0.29175701100542056		0.4358374061229211		0.21811690868209999		0.05428867418955833		4.213312795454729		0.2210162934371478		1.034937246055796		0.054288674189553486	
2	7	Normal		0.29180049925777557		0.43402897927981554		0.21852704203882886		0.05564347942357999		4.23252870837746		0.22688842804198697		1.0380135016282133		0.055643479423585135	
2	8	Normal		0.29159808966853445		0.43615435539545		0.2186574835102439		0.053590071425771664		4.209050768333004		0.2180958310981332		1.0342395366932529		0.0535900714257711	
2	9	Normal		0.2903096441251894		0.4376535844919761		0.21841959073177666		0.05361718065105778		4.2159210778366925		0.21832877535249348		1.0353443079087028		0.05361718065106535	
2	10	Normal		0.2915195521881344		0.4347821857049222		0.2190282436384961		0.05467001846844722		4.225247621498983		0.22278647416560235		1.036848728387256		0.0546700184684455	
2				0.29148349089109793	8.688281270344372E-4	0.4359407502762941	9.281088980133179E-4	0.218356047668616	6.510236792698035E-4	0.054219711163992	4.517641695874401E-4	4.215724240672474	0.01087394316798523	0.22078060500887617	0.001969053584231151	1.0353119791055019	0.0017485504927700407	0.054219711163993003	4.517641695873065E-4

