Scenario	Replication	[TotalTime].SampleAverage/1[min]		[TotalTime].EntityTimeAverage("CheckIn")/1[min]		[TotalTime].EntityTimeAverage("Waiting")/1[min]		[Agent1].WorkingTime / [Simulation].RunDuration		[Agent2].WorkingTime / [Simulation].RunDuration		[Agent3].WorkingTime / [Simulation].RunDuration		[Agent4].WorkingTime / [Simulation].RunDuration		[Agent5].WorkingTime / [Simulation].RunDuration		[Agent1].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent2].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent3].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent4].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent5].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60	
1	1	42473.37915237441		6.020440066734542		42467.35871230769		0.9998938684286		0.0		0.0		0.0		0.0		9.964920000000001		0.0		0.0		0.0		0.0	
1	2	42210.64019285782		6.027720578897685		42204.61247227903		0.9999873415252		0.0		0.0		0.0		0.0		9.95388		0.0		0.0		0.0		0.0	
1	3	41831.128903663935		6.008287033341349		41825.12061663074		0.9999520266375334		0.0		0.0		0.0		0.0		9.98568		0.0		0.0		0.0		0.0	
1	4	40706.9212107149		6.00098496345574		40700.92022575122		0.9999470293031333		0.0		0.0		0.0		0.0		9.9978		0.0		0.0		0.0		0.0	
1	5	40417.68268939881		5.99285093938273		40411.689838459264		0.9999591962961666		0.0		0.0		0.0		0.0		10.01148		0.0		0.0		0.0		0.0	
1	6	42895.85619360236		6.009105457705046		42889.84708814441		0.9998685557432332		0.0		0.0		0.0		0.0		9.983400000000001		0.0		0.0		0.0		0.0	
1	7	41895.640032391246		5.997714219802552		41889.642318171725		1.0		0.0		0.0		0.0		0.0		10.0038		0.0		0.0		0.0		0.0	
1	8	43859.27315778938		6.008966173786363		43853.26419161482		0.9999968863774333		0.0		0.0		0.0		0.0		9.984960000000001		0.0		0.0		0.0		0.0	
1	9	40888.957798867355		6.007462911367516		40882.95033595601		0.9999971561127666		0.0		0.0		0.0		0.0		9.98748		0.0		0.0		0.0		0.0	
1	10	42543.761290356		5.999366056756864		42537.76192429923		1.0		0.0		0.0		0.0		0.0		10.00104		0.0		0.0		0.0		0.0	
1		41972.32406220162	763.9450055500939	6.007289840123038	0.0075407035557588705	41966.31677236141	763.9418352450562	0.9999602060424065	3.342883662365186E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.987444000000002	0.01260974739926729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

2	1	8.345465364008193		6.018123412323277		2.3273419516849123		0.7047568478929667		0.50490778737		0.0		0.0		0.0		7.03308		5.0270399999999995		0.0		0.0		0.0	
2	2	8.265242251722064		6.021986086616824		2.2432561651052993		0.7009524008827667		0.5009980268094333		0.0		0.0		0.0		6.98784		4.987679999999999		0.0		0.0		0.0	
2	3	8.3154634259997		6.00300959417156		2.312453831828136		0.7006222035217666		0.49982636220209997		0.0		0.0		0.0		6.99876		4.99968		0.0		0.0		0.0	
2	4	8.227343332768188		5.99857950476823		2.228763827999944		0.7007021002870999		0.49804185713696664		0.0		0.0		0.0		7.00308		4.98708		0.0		0.0		0.0	
2	5	8.263549688343936		5.992381958281535		2.2711677300624293		0.6984512269063		0.4964159280581666		0.0		0.0		0.0		6.98868		4.97496		0.0		0.0		0.0	
2	6	8.32808601097738		6.009341598660955		2.318744412316463		0.7036270789597999		0.5029442140199666		0.0		0.0		0.0		7.023		5.0238		0.0		0.0		0.0	
2	7	8.280528209442245		5.9971152207251315		2.283412988717237		0.7003778554584		0.49905174798113333		0.0		0.0		0.0		7.01808		4.981800000000001		0.0		0.0		0.0	
2	8	8.339425764474488		6.007474354956818		2.3319514095175466		0.7063742988091334		0.5034540967586666		0.0		0.0		0.0		7.053240000000001		5.029920000000001		0.0		0.0		0.0	
2	9	8.230529834143981		6.003617486629193		2.226912347514704		0.6998810381454332		0.49667792457606663		0.0		0.0		0.0		6.99468		4.96368		0.0		0.0		0.0	
2	10	8.282579673389641		6.00133385413021		2.281245819259509		0.7001474759570333		0.4995084651918333		0.0		0.0		0.0		7.0022400000000005		4.99152		0.0		0.0		0.0	
2		8.287821355526981	0.030618971632451683	6.005296307126374	0.006602415050480687	2.2825250484006183	0.02852830961628407	0.70158925268207	0.0017766625931656844	0.5001826410104332	0.0020543567675748707	0.0	0.0	0.0	0.0	0.0	0.0	7.010268	0.01517527636066827	4.996715999999999	0.016438353510350712	0.0	0.0	0.0	0.0	0.0	0.0

3	1	6.523902581492224		6.018120541264535		0.5057820402277226		0.5645816123383666		0.3740232034545		0.27106148548346665		0.0		0.0		5.6359200000000005		3.7209600000000003		2.70336		0.0		0.0	
3	2	6.509045013600844		6.021968230771092		0.4870767828296448		0.5620673872869999		0.37040440934766666		0.26948877306316665		0.0		0.0		5.6047199999999995		3.69636		2.67456		0.0		0.0	
3	3	6.498649765935558		6.00300959417156		0.49564017176399505		0.5615844407847667		0.37026954421619995		0.2685945807229		0.0		0.0		5.60976		3.70452		2.68416		0.0		0.0	
3	4	6.482908055248004		5.99857950476823		0.48432855047972595		0.5624563217177		0.37061534938726665		0.2656722863191		0.0		0.0		5.62008		3.714		2.65608		0.0		0.0	
3	5	6.487520594038112		5.992395457532857		0.49512513650524625		0.5601867785844333		0.36901232322286665		0.26568643559026667		0.0		0.0		5.60076		3.696		2.6670000000000003		0.0		0.0	
3	6	6.50864943456294		6.009341598660955		0.4993078359019806		0.5639540702936		0.3709366059648		0.2716806167213667		0.0		0.0		5.62596		3.70704		2.7138		0.0		0.0	
3	7	6.483279543226851		5.997122743966757		0.48615679926016536		0.5603502995921333		0.3715011967579333		0.2675767764229333		0.0		0.0		5.61528		3.7089600000000003		2.67576		0.0		0.0	
3	8	6.5069319943824135		6.007474354956818		0.4994576394256142		0.5647557369967		0.3720616282739		0.2730110302972		0.0		0.0		5.632680000000001		3.72816		2.7223200000000003		0.0		0.0	
3	9	6.485696592688176		6.003617486629193		0.4820791060588575		0.5617704123944667		0.3698863725506333		0.2649021777764		0.0		0.0		5.61948		3.6838800000000003		2.655		0.0		0.0	
3	10	6.489853732972615		6.001363271826193		0.4884904611465142		0.5622147930310667		0.3689261670492667		0.2685294935770667		0.0		0.0		5.622		3.69372		2.67816		0.0		0.0	
3		6.497643730814774	0.009995242084536431	6.005299278454819	0.0065965001497858625	0.4923444523599466	0.005585555144329206	0.5623921853020233	0.0011443101098105226	0.3707636800225033	0.0010793429685523168	0.26862036559738667	0.0019600854641351946	0.0	0.0	0.0	0.0	5.618664000000001	0.008145190316768842	3.70536	0.00959634138844175	2.68302	0.016557704032228653	0.0	0.0	0.0	0.0

4	1	6.512329467121237		6.018120541264535		0.4942089258566992		0.5643753476398		0.3736675271616		0.27064304299313335		9.803834817999999E-4		0.0		5.63328		3.71676		2.70012		0.010079999999999999		0.0	
4	2	6.500794319817244		6.021968230771092		0.4788260890460959		0.5619113893438333		0.3700934750631		0.269213152163		7.425531279E-4		0.0		5.60184		3.6938400000000002		2.67264		0.00732		0.0	
4	3	6.489920095245196		6.00300959417156		0.4869105010736386		0.5613600025183		0.3700831404746333		0.26824418180453335		7.612409264E-4		0.0		5.60832		3.70152		2.6810400000000003		0.00756		0.0	
4	4	6.4769215374111875		5.99857950476823		0.47834203264293274		0.5622262289687333		0.3705552160616667		0.26540748022006666		5.550321735999999E-4		0.0		5.61804		3.71244		2.6538		0.00588		0.0	
4	5	6.477177593072863		5.992395457532857		0.48478213553999766		0.5598982849950334		0.3687371932658		0.2653435918393		9.064672974333333E-4		0.0		5.5986		3.69324		2.6622		0.009720000000000001		0.0	
4	6	6.498388683376337		6.009341598660955		0.4890470847154412		0.5637363311307		0.3706307628205666		0.2713285506771333		8.756483513666666E-4		0.0		5.62404		3.7048799999999997		2.70924		0.00864		0.0	
4	7	6.475928120021545		5.997122743966757		0.4788053760548318		0.5602054643986666		0.37128290098773337		0.2672702391774667		6.696682091333334E-4		0.0		5.613720000000001		3.70704		2.6728799999999997		0.00636		0.0	
4	8	6.495753186178164		6.007474354956818		0.48827883122130317		0.5645498301299333		0.37186107310123334		0.27248954401836667		9.279483182666667E-4		0.0		5.63016		3.7252799999999997		2.71848		0.00924		0.0	
