Scenario	Replication	[TotalTime].SampleAverage/1[min]		[TotalTime].EntityTimeAverage("CheckIn")/1[min]		[TotalTime].EntityTimeAverage("Waiting")/1[min]		[Agent1].WorkingTime / [Simulation].RunDuration		[Agent2].WorkingTime / [Simulation].RunDuration		[Agent3].WorkingTime / [Simulation].RunDuration		[Agent4].WorkingTime / [Simulation].RunDuration		[Agent5].WorkingTime / [Simulation].RunDuration		[Agent1].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent2].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent3].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent4].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent5].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60	
1	1	42473.37915237441		6.020440066734542		42467.35871230769		0.9998938684286		0.0		0.0		0.0		0.0		9.964920000000001		0.0		0.0		0.0		0.0	
1	2	42210.64019285782		6.027720578897685		42204.61247227903		0.9999873415252		0.0		0.0		0.0		0.0		9.95388		0.0		0.0		0.0		0.0	
1	3	41831.128903663935		6.008287033341349		41825.12061663074		0.9999520266375334		0.0		0.0		0.0		0.0		9.98568		0.0		0.0		0.0		0.0	
1	4	40706.9212107149		6.00098496345574		40700.92022575122		0.9999470293031333		0.0		0.0		0.0		0.0		9.9978		0.0		0.0		0.0		0.0	
1	5	40417.68268939881		5.99285093938273		40411.689838459264		0.9999591962961666		0.0		0.0		0.0		0.0		10.01148		0.0		0.0		0.0		0.0	
1	6	42895.85619360236		6.009105457705046		42889.84708814441		0.9998685557432332		0.0		0.0		0.0		0.0		9.983400000000001		0.0		0.0		0.0		0.0	
1	7	41895.640032391246		5.997714219802552		41889.642318171725		1.0		0.0		0.0		0.0		0.0		10.0038		0.0		0.0		0.0		0.0	
1	8	43859.27315778938		6.008966173786363		43853.26419161482		0.9999968863774333		0.0		0.0		0.0		0.0		9.984960000000001		0.0		0.0		0.0		0.0	
1	9	40888.957798867355		6.007462911367516		40882.95033595601		0.9999971561127666		0.0		0.0		0.0		0.0		9.98748		0.0		0.0		0.0		0.0	
1	10	42543.761290356		5.999366056756864		42537.76192429923		1.0		0.0		0.0		0.0		0.0		10.00104		0.0		0.0		0.0		0.0	
1		41972.32406220162	763.9450055500939	6.007289840123038	0.0075407035557588705	41966.31677236141	763.9418352450562	0.9999602060424065	3.342883662365186E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.987444000000002	0.01260974739926729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

2	1	8.06319947248863		6.018120541264535		2.0450789312240856		0.6743042049127667		0.5353620963635666		0.0		0.0		0.0		6.72588		5.33436		0.0		0.0		0.0	
2	2	7.989119782635769		6.021986086616824		1.9671336960188737		0.6710418000130666		0.5309086276791333		0.0		0.0		0.0		6.6888		5.28672		0.0		0.0		0.0	
2	3	8.031599656710585		6.0030095941715595		2.0285900625391373		0.6703015673903999		0.5301469983334666		0.0		0.0		0.0		6.701040000000001		5.2974		0.0		0.0		0.0	
2	4	7.949822787077753		5.99857950476823		1.951243282309497		0.6700233164519667		0.5287206409720999		0.0		0.0		0.0		6.69804		5.292120000000001		0.0		0.0		0.0	
2	5	7.985779308521144		5.992395457532857		1.993383850988159		0.6686433427039999		0.5262268671117		0.0		0.0		0.0		6.68832		5.27544		0.0		0.0		0.0	
2	6	8.041594859685773		6.009341598660955		2.0322532610248496		0.6733831210254999		0.5331881719542667		0.0		0.0		0.0		6.7248		5.322		0.0		0.0		0.0	
2	7	7.996181601998336		5.997122743966757		1.9990588580316808		0.6700648206661		0.529366236978		0.0		0.0		0.0		6.714		5.286		0.0		0.0		0.0	
2	8	8.049862602854086		6.007474354956818		2.042388247897242		0.6747783514196999		0.5350500441481		0.0		0.0		0.0		6.7296		5.35356		0.0		0.0		0.0	
2	9	7.949740990845847		6.003617486629193		1.9461235042166225		0.6691582716101666		0.5274006911113333		0.0		0.0		0.0		6.68532		5.27304		0.0		0.0		0.0	
2	10	8.003400714522725		6.00133385413021		2.0020668603925458		0.6694689669936		0.5301881957165		0.0		0.0		0.0		6.69528		5.29848		0.0		0.0		0.0	
2		8.006030177734065	0.028448856273567538	6.005298122269794	0.006600067325886346	2.0007320554642694	0.026217305814018384	0.6711167763187266	0.0015877831812578956	0.5306558570368167	0.0021857153422691435	0.0	0.0	0.0	0.0	0.0	0.0	6.705108	0.012159343917113992	5.301912	0.01888056373498039	0.0	0.0	0.0	0.0	0.0	0.0

3	1	6.330269348269303		6.018120541264535		0.312148807004836		0.5770165143657667		0.40132826539989996		0.23132152151066668		0.0		0.0		5.7633600000000005		3.9942		2.30268		0.0		0.0	
3	2	6.31297305719965		6.021968230771091		0.2910048264284806		0.5743942019553333		0.39809372174029994		0.22947389383293332		0.0		0.0		5.72412		3.97176		2.27976		0.0		0.0	
3	3	6.307490276627519		6.0030095941715595		0.30448068245588467		0.5734884889953		0.3978839213209333		0.22907615540763332		0.0		0.0		5.72484		3.97632		2.29728		0.0		0.0	
3	4	6.296053491087832		5.99857950476823		0.2974739863196162		0.5747938508269667		0.39719440508529996		0.22675570151179997		0.0		0.0		5.74404		3.9743999999999997		2.27172		0.0		0.0	
3	5	6.301955260740281		5.992395457532857		0.30955980320735427		0.5717407705683666		0.39559464724143334		0.22755056414269997		0.0		0.0		5.72112		3.9627599999999994		2.27988		0.0		0.0	
3	6	6.315933032050249		6.009341598660955		0.3065914333892828		0.5762339548602999		0.39891503681819995		0.23142230130126665		0.0		0.0		5.75136		3.9795599999999998		2.31588		0.0		0.0	
3	7	6.295707233141084		5.997100563411789		0.2986066697293023		0.5722029816720999		0.3978360296630333		0.22939476029306666		0.0		0.0		5.7331199999999995		3.9677999999999995		2.2992		0.0		0.0	
3	8	6.316389167476108		6.007474354956818		0.30891481251924297		0.5759817847055666		0.4002820966330667		0.23356451422916666		0.0		0.0		5.754		3.9979199999999997		2.33124		0.0		0.0	
3	9	6.297334901383625		6.003617486629193		0.29371741475436347		0.5734994019857333		0.3963252641541333		0.22673429658163333		0.0		0.0		5.73384		3.9530399999999997		2.2714800000000004		0.0		0.0	
3	10	6.298733789047597		6.001363271826193		0.2973705172214491		0.5746497067968332		0.3959366168602333		0.22908413000033334		0.0		0.0		5.74812		3.95736		2.2884		0.0		0.0	
3		6.307283955702326	0.008187328993536098	6.0052970603993225	0.006598064914765002	0.30198689530298123	0.005213644376932304	0.5744001656732266	0.0012267143397489467	0.3979390004916533	0.0013196408414862025	0.22943778388111996	0.001560610416308959	0.0	0.0	0.0	0.0	5.7397920000000004	0.010328140406246251	3.973512	0.010393958672025676	2.293752	0.013933990503717722	0.0	0.0	0.0	0.0

4	1	6.077214074894586		6.018120541264534		0.05909353363001064		0.5545075699731333		0.3707506720274333		0.19973159879923333		0.08467646047653332		0.0		5.533919999999999		3.68532		1.9970400000000001		0.84396		0.0	
4	2	6.073242554138562		6.021968230771091		0.051274323367435974		0.5514963416501		0.36864124161749995		0.198080458371		0.08374942410269999		0.0		5.49912		3.67512		1.9676399999999998		0.8337600000000001		0.0	
4	3	6.058642075651936		6.0030095941715595		0.05563248148025915		0.5508705983583333		0.3673244013794		0.19771847386706667		0.08453509211906667		0.0		5.505		3.67332		1.9803600000000001		0.83976		0.0	
4	4	6.052916411868879		5.99857950476823		0.05433690710065591		0.5525063318014667		0.3673586151532333		0.1953150921724		0.08356391829696666		0.0		5.51532		3.6818400000000002		1.96116		0.83184		0.0	
4	5	6.050889292003055		5.992395457532857		0.05849383447009958		0.5495726774232332		0.36572926948056667		0.19652986168706665		0.08306205973316667		0.0		5.50368		3.66468		1.9609200000000002		0.83448		0.0	
4	6	6.065455125177601		6.009341598660955		0.05611352651675141		0.5537231157700333		0.3677938562655		0.1995875447138		0.08546677623043333		0.0		5.52408		3.67848		1.99572		0.84852		0.0	
4	7	6.049946623566457		5.997100563411789		0.05284606015489837		0.5506115172876667		0.3679989947699333		0.1974650838019333		0.08335817576866666		0.0		5.51856		3.67524		1.9746000000000001		0.83172		0.0	
4	8	6.065251282200436		6.007474354956818		0.05777692724353558		0.5540128167374666		0.3694154364999		0.20142751196529998		0.08497263036513333		0.0		5.52924		3.69564		2.00748		0.8508		0.0	
